nodes,fostamatinib
GO:0071347,0.00025011667518988473
GO:0090050,0.00024953692267487733
GO:0010508,0.0002492995139819932
7124,0.0002474077465403086
GO:0046328,0.00024643945391793784
GO:0043536,0.0002462184127267388
GO:0032091,0.0002459828950344438
GO:0007182,0.0002445698282891194
GO:1903146,0.0002435573662345373
4193,0.00024240602873846617
65018,0.00024185305783426254
GO:0009062,0.00024162880932884716
GO:0072659,0.00024003844026459172
GO:0031398,0.00024000900491544125
GO:0000281,0.00023978995164959367
GO:0019221,0.0002394746873788633
GO:0007346,0.0002376806576068892
GO:0007256,0.00023648869329371663
6774,0.0002363830847974196
GO:0032436,0.00023597154753412155
GO:0035329,0.000235762770646593
GO:0000187,0.0002346718924076194
51343,0.00023403050728403998
GO:0010800,0.00023401450757809801
GO:0007605,0.00023267786168488323
GO:0007229,0.0002325432336382851
2099,0.0002318572794831978
GO:0006406,0.0002316190495081868
GO:0042127,0.00023161147999642813
GO:1903672,0.00023132831131595621
GO:0006461,0.000230816579509154
GO:0006281,0.0002306244088864197
10987,0.00023011617769232905
7186,0.0002297237429998632
GO:0030155,0.00022959461764371125
5594,0.0002291349929472995
GO:0048025,0.00022811300090499196
2033,0.00022767457479310325
10971,0.00022738503373977124
GO:0065008,0.00022713020328226255
GO:0019370,0.0002253604462285289
6047,0.00022461778390534017
5728,0.00022398150916527203
GO:0046069,0.00022326312562250805
GO:0006744,0.00022314402738348322
7531,0.00022254815036710558
2621,0.00022194050034994968
5781,0.00022153095103539082
GO:0050852,0.00022115524946590595
GO:0034198,0.00021939534502113536
1398,0.0002191967579735114
GO:0007595,0.00021888978893790884
3845,0.00021838603411558256
GO:0001649,0.000218365246676292
GO:0090263,0.0002178234647356792
GO:0030509,0.000216585381765316
GO:0014068,0.00021652026546183285
4343,0.00021547197538126234
63891,0.00021454971662108736
GO:0000387,0.00021427900628157154
1499,0.00021410835098446376
GO:0007010,0.0002135950393868861
801,0.00021341364561574684
GO:0050896,0.00021328469139426722
GO:0002181,0.00021324001810900714
6733,0.00021281240179398645
GO:0090090,0.00021221579868218376
867,0.00021208499890592843
GO:0060326,0.0002117355967398414
3312,0.00021128581306223028
GO:0008104,0.00021039005486065115
GO:0007059,0.00020975096383588432
5970,0.00020952966767679416
GO:0000278,0.00020947857298856702
GO:0001938,0.00020926924754187718
25865,0.00020712673659822225
GO:0010212,0.00020652362378166067
GO:0051893,0.000206392638864032
GO:0043407,0.00020617362093608302
1639,0.00020458308852097342
GO:2000369,0.0002044156485976799
GO:0031397,0.0002031636821938553
GO:0030308,0.00020249748042785033
5155,0.00020203984932014456
